fibre,nu_lo,nu_hi,N,eta,rho,q_raw,q_hat,X_bd,L_bd,L3,tail_bound,u3_core_upper,u3_upper,a3_lower
minus,0.011390625000000001,0.017085937500000002,80,3.9817338140152005e-15,0.3231322128017217,0.007514460465834919,0.007544477728129695,0.27172771306165144,0.003994599802773944,0.00018590324997951342,0.0020574092354278483,-0.027127095166945503,-0.0271267126878821,0.0271267126878821
minus,0.017085937500000002,0.025628906250000003,80,7.992766056888313e-16,0.3125513785637852,0.005009640310556613,0.0050229313665317975,0.2597663519100104,0.0026530958614287272,0.0001840045086101758,0.0013079055074524655,-0.04048562427618746,-0.04048538361567725,0.04048538361567725
minus,0.025628906250000003,0.03844335937500001,80,4.761813602440542e-15,0.3213139281977997,0.0033397602070377413,0.003345683649491285,0.24524176354587268,0.001773613099845152,0.00018457176598442592,0.0008217981596602218,-0.05642082102450413,-0.05642066934376652,0.05642066934376652
minus,0.03844335937500001,0.057665039062500006,80,2.909221146066501e-15,0.350086817327587,0.0022265068046918276,0.002229165719756699,0.22076021385147432,0.0011942092695465805,0.00018425861857986883,0.0004926222549891417,-0.07333556440880096,-0.07333547363890477,0.07333547363890477
minus,0.057665039062500006,0.08649755859375001,80,2.951966058529567e-15,0.37076530570292465,0.001484337869794552,0.0014855286680381598,0.17342406535782426,0.0008022420419500967,0.0001692089913183784,0.0002578028813152407,-0.09723480474658439,-0.09723476112401888,0.09723476112401888
minus,0.08649755859375001,0.129746337890625,80,1.6862648875342946e-15,0.368993983395242,0.0009895585798630345,0.0009900874393252612,0.11226056479543815,0.0005344397724284405,0.00013502827530521117,0.00011119850131301775,-0.12454803917857371,-0.12454802416363187,0.12454802416363187
minus,0.129746337890625,0.1946195068359375,80,1.5064129714596116e-15,0.3445649555862663,0.0006597057199086897,0.0006599386521291292,0.062013191769015784,0.0003530850399049831,9.389850860622276e-05,4.093747354092436e-05,-0.1326105894247509,-0.1326105855807832,0.1326105855807832
minus,0.1946195068359375,0.29192926025390625,80,5.75354752759954e-16,0.3108255288259203,0.00043980381327245985,0.000439906151440512,0.04438340937647594,0.0002326904973621347,6.028994980427923e-05,1.952858343378821e-05,-0.10177262646956217,-0.10177262529218485,0.10177262529218485
minus,0.29192926025390625,0.43789389038085935,80,2.0296161175701076e-15,0.27969072026152814,0.0002932025421816399,0.0002932475829556734,0.030027938523257015,0.00015361658769499578,3.773257336981204e-05,8.806850499115272e-06,-0.07418768988287007,-0.07418768955056494,0.07418768955056494
minus,0.43789389038085935,0.656840835571289,80,2.469778330167048e-15,0.2553471102993537,0.0001954683614544266,0.00019548823717761095,0.01990038560408245,0.00010168255893926956,2.367310926482034e-05,3.890656343891387e-06,-0.05220193529566221,-0.05220193520355827,0.05220193520355827
minus,0.656840835571289,0.7,80,5.610414190094779e-16,0.03900169282226687,0.00013031224096961776,0.00013032094717634274,0.0019941323875465496,6.68103522754174e-05,2.3209613330043518e-06,2.5989372980831894e-07,-0.05807647161297062,-0.05807647161236742,0.05807647161236742
